Date;Marzahn-Hellersdorf;Mitte;Neukoelln;Tempelhof-Schoeneberg;Friedrichshain-Kreuzberg;Pankow;Reinickendorf;Charlottenburg-Wilmersdorf;Spandau;Lichtenberg;Steglitz-Zehlendorf;Treptow-Koepenick
2021-07-13;4;25;9;9;20;12;3;12;7;6;5;4
2021-07-14;0;15;19;14;14;21;8;9;5;14;7;5
2021-07-15;2;18;12;12;27;14;7;18;8;4;9;5
2021-07-16;1;21;12;11;25;19;9;22;0;8;4;8
2021-07-17;0;0;4;1;6;0;5;0;0;0;3;0
2021-07-18;0;0;0;1;0;0;0;0;0;0;0;0
2021-07-19;9;39;20;21;34;26;8;29;10;8;10;6
2021-07-20;5;35;13;14;26;18;14;27;11;15;11;5
2021-07-21;8;26;15;11;27;17;6;27;10;8;8;9
2021-07-22;8;16;12;10;20;18;5;19;7;9;8;7
2021-07-23;10;24;11;16;31;20;15;13;11;7;14;0
2021-07-24;0;0;2;0;0;0;14;1;0;0;10;0
2021-07-25;0;0;6;0;0;0;2;0;0;0;0;1
2021-07-26;5;31;27;18;29;38;5;46;24;10;12;6
2021-07-27;5;20;31;24;25;14;9;30;16;10;21;3
2021-07-28;6;37;23;14;33;8;13;18;25;13;13;3
2021-07-29;5;15;30;14;24;27;23;17;22;12;9;9
2021-07-30;5;25;21;19;30;22;7;9;10;10;21;4
2021-07-31;0;0;2;0;0;0;7;0;12;0;5;0
2021-08-01;0;0;6;0;0;0;8;0;0;0;0;0
2021-08-02;10;38;58;13;30;21;18;40;8;22;16;15
2021-08-03;15;31;37;26;41;19;27;18;16;17;28;12
2021-08-04;14;41;39;28;33;32;29;32;24;26;19;9
2021-08-05;14;28;31;29;35;16;36;17;23;14;12;13
2021-08-06;13;37;23;29;15;23;13;20;14;8;26;8
2021-08-07;0;1;7;0;18;0;13;0;20;0;8;5
2021-08-08;0;5;11;0;0;0;10;0;19;0;0;0
2021-08-09;24;41;86;35;51;40;25;59;8;42;22;20
2021-08-10;26;52;70;35;36;39;38;39;52;23;22;19
2021-08-11;25;55;96;49;49;36;36;55;49;30;9;17
2021-08-12;32;57;73;24;51;32;40;37;52;22;34;7
2021-08-13;28;51;52;48;39;28;25;41;48;36;41;8
2021-08-14;0;2;20;0;24;0;21;0;26;0;8;9
2021-08-15;0;0;16;0;1;0;13;0;19;0;2;0
2021-08-16;26;95;97;71;51;63;22;97;28;46;28;17
2021-08-17;37;45;64;59;46;31;57;62;59;43;33;18
2021-08-18;28;74;73;50;49;36;44;41;39;19;38;16
2021-08-19;45;63;54;34;46;23;37;36;25;32;19;29
2021-08-20;16;85;62;44;34;25;34;30;59;31;28;16
2021-08-21;0;0;18;0;30;0;16;0;17;0;8;11
2021-08-22;0;1;7;0;0;0;23;0;8;0;1;0
2021-08-23;41;78;62;69;58;47;39;75;30;61;42;8
2021-08-24;20;49;98;67;60;50;62;56;52;37;48;20
2021-08-25;35;94;88;54;51;35;64;41;45;33;52;40
2021-08-26;22;83;65;40;42;26;41;42;42;50;31;23
2021-08-27;35;63;75;43;35;16;39;36;41;15;25;29
2021-08-28;0;0;20;0;19;0;24;2;26;0;10;11
2021-08-29;0;0;13;0;0;0;14;0;21;0;4;0
2021-08-30;35;103;92;61;61;90;45;72;42;19;22;21
2021-08-31;34;103;99;75;61;50;98;61;77;71;41;31
2021-09-01;47;78;96;57;63;53;65;54;35;51;54;24
2021-09-02;26;63;44;74;50;45;56;34;10;40;20;17
2021-09-03;42;83;78;50;40;42;32;40;17;22;28;14
2021-09-04;0;3;23;0;16;0;29;33;24;0;16;8
2021-09-05;0;0;23;0;0;0;4;0;0;0;0;15
2021-09-06;43;113;71;81;92;76;51;52;52;38;31;22
2021-09-07;37;83;102;62;85;52;69;51;36;40;33;11
2021-09-08;38;87;51;58;61;40;60;64;87;58;29;39
2021-09-09;16;99;62;63;50;29;51;41;85;45;22;22
2021-09-10;20;67;59;66;44;39;63;39;69;21;31;34
2021-09-11;0;0;1;0;13;0;31;0;38;0;20;6
2021-09-12;0;1;0;0;0;0;12;0;1;0;2;0
2021-09-13;40;103;99;65;74;68;26;80;49;47;25;45
2021-09-14;13;86;79;55;66;39;61;52;82;32;40;27
2021-09-15;23;95;71;61;55;57;59;35;62;55;32;39
2021-09-16;28;55;67;43;48;45;36;35;36;24;24;30
2021-09-17;24;82;39;50;34;44;31;27;54;13;28;1
2021-09-18;0;1;10;0;22;0;29;18;12;0;1;6
2021-09-19;0;1;2;0;0;0;11;0;0;0;0;0
2021-09-20;27;100;90;64;39;52;23;53;31;64;22;30
2021-09-21;15;86;60;45;43;46;64;21;39;29;30;32
2021-09-22;52;72;63;63;66;62;43;35;37;27;29;23
2021-09-23;25;42;43;42;30;33;55;31;36;29;25;26
2021-09-24;18;56;68;52;52;47;46;40;17;19;18;40
2021-09-25;0;6;4;0;18;0;24;17;14;0;0;1
2021-09-26;0;2;4;0;2;0;19;0;0;0;0;0
2021-09-27;35;73;82;55;64;60;36;31;39;45;40;39
2021-09-28;26;92;49;60;77;44;62;38;39;30;36;32
2021-09-29;47;76;102;60;81;59;59;42;50;25;34;57
2021-09-30;28;39;51;59;55;46;47;41;43;37;21;33
2021-10-01;32;61;75;52;27;51;42;34;34;25;25;26
2021-10-02;0;2;9;0;0;24;12;22;0;0;5;8
2021-10-03;0;2;3;0;1;0;21;0;21;0;1;11
2021-10-04;45;75;83;62;58;40;46;43;53;54;46;14
2021-10-05;39;84;86;61;80;54;65;42;48;40;40;26
2021-10-06;45;77;70;71;49;40;59;61;42;42;19;22
2021-10-07;32;93;52;41;46;34;64;29;42;38;34;22
2021-10-08;39;80;52;39;51;41;61;34;34;33;39;30
2021-10-09;0;1;16;0;27;38;7;33;0;0;2;3
2021-10-10;0;0;5;0;0;0;4;0;16;0;2;0
2021-10-11;59;108;73;81;56;34;42;27;51;82;39;18
2021-10-12;22;108;76;65;74;57;81;51;47;37;56;32
2021-10-13;43;77;58;75;61;53;51;52;38;35;32;46
2021-10-14;22;92;75;45;47;35;43;40;38;33;34;24
2021-10-15;59;87;69;53;59;54;64;33;43;44;30;31
2021-10-16;0;1;26;1;49;42;20;52;0;0;1;12
2021-10-17;0;1;21;2;0;0;4;0;38;0;1;6
2021-10-18;50;138;109;91;70;46;65;37;34;84;82;53
2021-10-19;39;128;107;129;85;71;78;50;52;55;53;5
2021-10-20;71;103;109;80;95;79;95;98;77;51;40;80
2021-10-21;33;92;89;110;47;53;83;62;46;42;62;48
2021-10-22;36;126;55;63;92;80;41;61;54;49;50;25
2021-10-23;0;8;24;0;72;52;40;58;0;0;10;0
2021-10-24;0;1;5;1;0;0;5;0;31;0;0;0
2021-10-25;45;143;79;119;61;83;86;63;54;95;60;29
2021-10-26;70;116;179;126;129;112;85;84;65;62;88;76
2021-10-27;57;181;146;123;97;111;101;87;86;80;78;62
2021-10-28;71;121;119;78;91;83;90;82;89;61;60;81
2021-10-29;73;115;63;89;121;80;115;50;73;83;58;57
2021-10-30;0;2;33;3;23;116;9;76;0;0;1;11
2021-10-31;0;5;27;1;9;0;3;0;53;0;1;16
2021-11-01;85;175;149;111;72;113;123;70;47;134;95;65
2021-11-02;25;161;162;146;97;169;145;98;72;107;140;79
2021-11-03;137;149;169;144;160;134;107;110;139;116;103;119
2021-11-04;70;185;162;108;141;185;163;140;115;118;99;105
2021-11-05;166;152;97;151;78;116;147;99;114;101;98;66
2021-11-06;0;3;3;2;55;108;15;40;0;0;32;7
2021-11-07;0;0;13;1;9;0;38;0;64;0;5;0
2021-11-08;73;280;263;248;201;199;152;190;127;187;96;192
2021-11-09;84;196;291;153;310;184;121;137;100;142;214;124
2021-11-10;211;273;252;305;252;320;163;238;138;207;169;191
2021-11-11;115;275;223;243;170;276;149;175;126;41;171;145
2021-11-12;126;235;218;159;152;327;177;153;170;27;163;147
2021-11-13;0;1;4;0;224;209;62;30;0;0;91;0
2021-11-14;0;0;5;0;59;0;90;2;96;0;38;2
2021-11-15;74;411;276;364;246;269;176;120;113;314;260;218
2021-11-16;118;253;356;228;222;284;238;282;220;225;234;191
2021-11-17;160;267;289;199;262;321;220;277;219;200;196;247
2021-11-18;79;236;217;173;236;309;159;60;182;293;224;223
2021-11-19;55;235;181;132;194;255;261;238;169;53;144;165
2021-11-20;0;2;7;1;102;195;16;42;0;0;90;0
2021-11-21;0;3;17;4;87;0;23;0;51;0;104;0
2021-11-22;68;411;299;378;213;327;286;376;121;241;109;307
2021-11-23;42;295;246;317;188;285;240;205;111;244;273;212
2021-11-24;218;308;243;278;221;397;219;213;145;188;189;218
2021-11-25;158;297;360;265;153;268;209;207;103;166;180;205
2021-11-26;163;205;326;258;214;286;204;168;156;246;173;223
2021-11-27;0;0;128;1;144;252;58;44;0;0;99;0
2021-11-28;0;3;126;0;38;0;46;0;156;0;33;0
2021-11-29;159;241;293;236;171;232;219;295;227;335;138;287
2021-11-30;225;289;310;357;216;235;174;168;218;125;166;220
2021-12-01;157;215;191;166;230;197;132;199;142;309;121;185
2021-12-02;269;270;219;257;155;262;148;189;183;125;164;315
2021-12-03;209;274;151;158;170;222;171;172;219;159;172;186
2021-12-04;119;0;56;0;103;176;94;40;0;0;64;1
2021-12-05;0;3;148;0;29;0;20;0;101;0;43;0
2021-12-06;186;333;271;344;124;263;187;230;231;187;113;183
2021-12-07;178;293;193;225;207;226;132;163;241;275;138;241
2021-12-08;140;338;243;245;204;240;138;212;209;213;121;279
2021-12-09;130;182;189;160;182;176;144;160;222;202;95;209
2021-12-10;121;192;115;140;153;201;116;82;121;184;88;113
2021-12-11;54;3;6;0;24;149;34;29;0;14;70;11
2021-12-12;0;3;0;0;4;0;26;0;100;0;66;0
2021-12-13;239;268;318;256;192;254;178;263;163;185;103;178
2021-12-14;284;280;217;192;201;239;139;128;103;145;121;229
2021-12-15;255;187;244;109;186;275;132;174;168;185;124;174
2021-12-16;273;285;221;243;127;264;158;166;156;152;113;252
2021-12-17;285;232;141;211;169;260;128;122;147;132;117;159
2021-12-18;150;2;27;0;82;146;18;27;0;0;68;5
2021-12-19;0;2;78;0;30;0;20;0;87;0;38;3
2021-12-20;186;314;341;377;282;279;173;253;156;325;113;208
2021-12-21;213;219;239;231;200;217;214;110;113;248;121;429
2021-12-22;57;272;181;223;169;235;215;163;144;290;147;193
2021-12-23;35;284;137;136;256;179;157;150;99;178;133;129
2021-12-24;0;185;98;0;93;1;27;1;65;0;97;75
2021-12-25;0;2;109;0;111;402;25;0;0;0;68;0
2021-12-26;0;1;67;0;72;77;49;0;171;0;36;0
2021-12-27;82;292;233;278;243;168;189;226;79;239;138;249
2021-12-28;147;351;210;252;231;227;256;189;93;155;179;144
2021-12-29;149;302;178;208;250;384;210;194;124;95;212;190
2021-12-30;156;238;301;248;224;267;176;145;145;194;252;175
2021-12-31;0;162;72;0;131;356;103;3;0;0;166;61
2022-01-01;0;3;81;0;114;0;18;3;7;1;99;3
2022-01-02;0;2;45;2;82;268;86;0;163;0;93;1
2022-01-03;123;563;556;367;297;224;260;213;180;387;271;277
2022-01-04;187;538;571;549;435;349;191;269;220;448;457;265
2022-01-05;264;501;651;542;485;833;323;478;253;369;457;380
2022-01-06;172;813;651;507;823;542;384;559;437;396;450;392
2022-01-07;214;640;658;764;740;481;491;532;320;446;459;202
2022-01-08;172;4;344;1;153;294;94;282;292;147;190;0
2022-01-09;0;10;255;0;135;118;133;92;5;0;132;0
2022-01-10;105;903;780;767;868;682;564;445;530;463;374;518
2022-01-11;0;907;812;758;922;873;645;634;445;459;514;358
2022-01-12;0;1172;974;613;1104;708;701;702;324;638;468;452
2022-01-13;0;1107;1056;382;894;576;548;410;339;460;617;499
2022-01-14;0;1133;825;284;908;351;503;443;473;469;619;408
2022-01-15;0;9;73;5;251;328;156;340;282;148;344;3
2022-01-16;0;15;312;6;221;466;124;32;1;0;227;1
2022-01-17;129;1412;1289;226;783;371;647;837;766;844;641;636
2022-01-18;182;2130;1161;611;1042;609;791;715;843;556;844;635
2022-01-19;286;3039;1081;835;1197;2022;706;726;866;668;758;549
2022-01-20;234;2620;1199;1039;1312;2392;742;720;779;779;584;665
2022-01-21;371;1671;1302;1580;1236;2113;741;459;753;678;626;559
2022-01-22;278;22;339;18;322;658;200;99;388;372;476;2
2022-01-23;0;15;408;18;106;265;175;61;0;0;208;38
2022-01-24;418;2545;1486;2000;1364;2111;842;640;1064;566;649;660
2022-01-25;354;1892;1646;2862;1363;2477;721;700;1083;618;810;655
2022-01-26;312;2194;1849;2154;1602;1473;912;719;920;815;630;568
2022-01-27;321;1309;1883;2371;1445;1199;837;565;940;815;605;590
2022-01-28;370;1250;1564;628;1276;1157;691;633;888;1052;774;570
2022-01-29;162;20;251;5;545;567;60;259;445;582;494;14
2022-01-30;0;27;141;1;45;163;157;120;0;0;427;0
2022-01-31;336;2334;1449;1098;1463;1071;910;1067;912;892;466;498
2022-02-01;608;1316;1654;809;1570;2272;736;2580;844;1252;441;786
2022-02-02;931;1196;1028;1006;525;1979;872;3161;684;1139;369;640
2022-02-03;938;1241;998;665;925;1112;854;2981;690;1221;294;596
2022-02-04;701;1042;625;601;634;926;562;653;665;1042;574;470
2022-02-05;293;13;137;0;273;800;110;63;275;98;346;8
2022-02-06;0;3;126;1;134;0;201;169;0;0;27;9
2022-02-07;891;1455;832;947;1016;1039;739;834;647;892;835;682
2022-02-08;1230;1289;1029;1301;593;1226;821;728;730;1238;944;858
2022-02-09;1079;978;815;1585;760;892;759;688;654;1058;777;1117
2022-02-10;867;669;316;898;635;784;700;490;717;749;815;1081
2022-02-11;503;600;365;607;511;802;467;385;582;825;785;875
2022-02-12;0;6;87;0;224;478;119;87;0;147;140;16
2022-02-13;0;1;73;1;77;0;65;133;0;0;90;8
2022-02-14;859;1149;329;1069;736;846;617;514;909;704;594;878
2022-02-15;841;868;533;617;696;988;760;437;1024;1028;920;1126
2022-02-16;194;684;801;507;470;775;603;381;439;742;891;963
2022-02-17;1024;561;516;448;407;630;281;470;404;732;688;774
2022-02-18;614;598;671;385;575;490;276;486;410;1175;681;706
2022-02-19;139;10;20;0;151;889;132;76;217;298;97;1
2022-02-20;0;8;45;0;53;0;90;142;1;0;44;3
2022-02-21;494;1136;929;871;758;727;400;667;542;1082;445;724
2022-02-22;697;784;751;688;530;1090;396;647;338;1249;457;917
2022-02-23;815;810;522;497;639;707;517;745;387;1437;550;939
2022-02-24;836;623;461;497;477;726;452;597;419;1231;472;1070
2022-02-25;607;554;441;507;586;546;323;393;376;819;467;869
2022-02-26;0;2;16;1;125;375;52;175;235;192;32;8
2022-02-27;0;6;26;1;112;0;112;88;1;0;55;11
2022-02-28;621;606;538;789;372;799;328;499;354;356;578;912
2022-03-01;601;690;578;596;640;810;345;425;484;191;523;803
2022-03-02;788;699;475;576;453;1038;407;534;533;329;368;735
2022-03-03;848;469;365;463;711;806;425;446;622;398;434;461
2022-03-04;674;577;315;405;519;486;343;373;280;328;500;661
2022-03-05;141;3;10;1;227;489;76;81;257;81;80;2
2022-03-06;0;0;2;6;40;0;105;119;0;0;27;1
2022-03-07;475;800;241;654;630;600;368;296;280;129;516;464
2022-03-08;0;8;20;3;76;0;90;7;0;144;44;10
2022-03-09;471;870;728;814;960;1213;438;544;692;164;814;739
2022-03-10;589;793;750;668;673;792;374;596;302;289;448;663
2022-03-11;498;756;612;1048;654;1193;432;516;508;271;542;368
2022-03-12;0;4;20;1;223;442;121;83;313;0;135;7
2022-03-13;0;5;24;0;46;0;123;80;1;0;72;4
2022-03-14;652;1175;1114;631;856;1693;550;719;585;330;830;627
2022-03-15;497;1318;697;718;839;1161;596;742;488;346;711;703
2022-03-16;356;1092;599;1469;906;1403;527;647;490;457;547;754
2022-03-17;535;697;525;780;815;657;494;813;287;347;502;701
2022-03-18;653;700;532;539;547;350;442;501;426;183;433;376
2022-03-19;0;7;24;1;111;1;115;65;138;0;17;10
2022-03-20;0;6;6;0;21;0;117;69;0;0;24;2
2022-03-21;607;1010;898;1154;978;1118;553;745;518;338;651;475
2022-03-22;624;1185;726;860;943;1634;541;711;507;460;765;700
2022-03-23;659;1131;513;799;820;1798;647;749;451;440;552;753
2022-03-24;791;832;578;676;561;1103;316;730;439;499;758;597
2022-03-25;795;724;452;549;463;644;383;574;343;383;620;554
2022-03-26;0;11;46;1;374;580;97;53;25;0;58;28
2022-03-27;0;3;10;0;39;0;149;136;0;0;8;0
2022-03-28;662;917;618;851;595;397;361;700;499;252;522;796
2022-03-29;662;655;567;842;756;1017;347;489;588;377;414;685
2022-03-30;545;1028;388;624;590;1385;407;426;415;379;499;689
2022-03-31;1057;535;344;259;385;418;273;311;333;481;481;615
2022-04-01;801;430;333;488;676;440;326;230;359;391;384;420
2022-04-02;0;5;12;1;163;265;57;100;0;0;6;4
2022-04-03;0;2;10;0;16;0;128;0;1;0;4;3
2022-04-04;376;574;443;723;416;447;139;574;433;520;473;740
2022-04-05;625;704;267;612;478;1256;332;405;313;748;595;741
2022-04-06;307;451;391;475;282;554;350;370;203;542;332;471
2022-04-07;626;439;336;366;318;476;214;543;206;442;439;373
2022-04-08;342;354;220;284;234;335;196;368;138;551;376;229
2022-04-09;0;1;23;3;81;127;93;60;16;0;47;1
2022-04-10;0;0;31;1;53;0;90;0;0;0;26;4
2022-04-11;351;514;419;610;438;474;100;523;339;413;236;304
2022-04-12;717;496;278;378;389;779;270;497;225;430;340;391
2022-04-13;515;332;247;293;302;471;269;528;184;251;454;441
2022-04-14;711;294;221;320;231;327;144;185;128;347;348;293
2022-04-15;0;0;76;5;61;0;114;0;40;0;2;3
2022-04-16;0;0;68;1;146;271;69;59;0;0;2;7
2022-04-17;0;1;0;0;48;0;101;0;48;0;2;2
2022-04-18;0;0;18;1;58;475;65;0;34;0;1;1
2022-04-19;436;666;325;737;483;243;103;369;338;154;528;423
2022-04-20;433;452;253;292;321;368;271;436;261;281;339;230
2022-04-21;589;343;155;239;241;346;150;363;191;217;208;288
2022-04-22;306;277;193;233;298;333;199;226;104;212;196;277
2022-04-23;0;3;23;1;46;206;104;183;0;0;1;8
2022-04-24;0;0;22;1;44;0;81;0;0;0;1;2
2022-04-25;369;532;292;460;354;656;98;348;275;413;434;360
2022-04-26;684;308;212;349;335;576;315;336;173;346;253;272
2022-04-27;229;794;387;477;299;502;201;288;126;251;358;271
2022-04-28;804;422;214;276;237;333;145;267;0;274;379;547
2022-04-29;378;244;143;155;336;318;135;109;222;197;204;172
2022-04-30;0;1;8;0;78;133;27;56;0;0;4;3
2022-05-01;0;1;19;0;38;0;40;0;0;0;17;2
2022-05-02;142;237;205;268;204;160;95;156;224;306;237;191
2022-05-03;663;454;244;375;279;672;184;295;141;423;196;344
2022-05-04;493;160;127;165;114;163;141;167;88;378;246;173
2022-05-05;479;182;99;132;119;166;99;139;68;338;112;170
2022-05-06;293;137;143;126;130;155;96;117;100;218;100;11
2022-05-07;0;13;11;0;24;0;24;76;0;0;3;0
2022-05-08;0;4;6;0;22;0;81;0;0;0;2;2
2022-05-09;474;413;259;478;400;512;108;180;170;264;239;186
2022-05-10;333;361;191;177;207;494;155;241;130;261;289;342
2022-05-11;359;224;176;187;183;215;160;233;73;322;267;195
2022-05-12;619;162;123;155;114;244;77;149;86;359;205;191
2022-05-13;551;143;118;139;134;218;118;174;98;291;118;125
2022-05-14;0;2;5;0;33;146;51;54;0;0;8;4
2022-05-15;0;2;5;0;23;0;59;0;0;0;11;4
2022-05-16;424;230;184;304;188;205;75;143;172;319;221;159
2022-05-17;290;225;99;170;147;237;86;131;102;297;255;130
2022-05-18;215;179;88;117;92;217;81;99;82;387;119;110
2022-05-19;532;120;83;119;115;141;72;105;74;309;90;89
2022-05-20;244;152;85;101;119;137;92;87;72;250;169;103
2022-05-21;0;0;9;0;52;93;32;34;0;0;21;3
2022-05-22;0;0;9;0;12;0;43;0;0;0;1;0
2022-05-23;458;268;104;201;120;161;38;122;120;338;170;176
2022-05-24;669;142;89;123;122;169;61;107;65;314;149;86
2022-05-25;409;96;83;94;89;121;60;107;47;324;74;61
2022-05-26;0;3;3;0;21;0;46;0;0;0;1;1
2022-05-27;468;163;114;174;84;183;38;89;75;166;146;82
2022-05-28;0;1;11;0;82;95;46;40;0;0;17;9
2022-05-29;0;2;9;0;33;0;25;0;0;0;3;1
2022-05-30;57;237;142;156;56;145;55;136;110;364;132;102
2022-05-31;342;132;114;136;109;149;84;89;63;340;98;71
2022-06-01;90;159;97;107;88;148;73;95;64;467;147;93
2022-06-02;130;103;73;69;61;103;57;84;43;376;96;50
2022-06-03;55;91;64;95;91;108;48;61;53;227;108;56
2022-06-04;0;1;2;2;49;65;36;0;0;0;2;4
2022-06-05;0;1;2;0;8;0;45;0;0;0;11;0
2022-06-06;0;1;8;0;139;0;24;0;0;0;5;3
2022-06-07;67;426;206;306;129;372;78;253;195;342;293;221
2022-06-08;76;212;129;167;165;231;114;173;98;271;172;133
2022-06-09;14;126;161;244;98;243;99;101;120;380;117;80
2022-06-10;71;149;164;224;83;188;82;168;99;218;242;121
2022-06-11;0;1;10;0;51;331;62;2;0;0;6;1
2022-06-12;0;2;25;2;1;0;76;0;0;0;2;0
2022-06-13;151;397;246;365;155;271;78;297;217;114;261;253
2022-06-14;167;266;174;224;272;246;138;204;111;233;160;241
2022-06-15;162;215;165;166;265;226;134;184;113;224;154;128
2022-06-16;129;164;170;151;193;177;110;148;108;241;122;87
2022-06-17;263;418;217;368;240;411;156;182;141;151;284;312
2022-06-18;0;0;7;0;96;415;79;1;0;0;12;0
2022-06-19;0;0;21;0;23;0;50;0;0;0;4;3
2022-06-20;125;505;268;453;279;403;91;276;247;298;265;345
2022-06-21;237;308;210;315;250;477;208;364;164;238;237;220
2022-06-22;297;492;306;417;234;465;193;281;195;246;315;247
2022-06-23;215;335;202;320;278;349;212;199;132;242;277;218
2022-06-24;131;302;157;232;236;355;147;340;124;338;221;265
2022-06-25;0;3;10;2;68;305;66;87;0;0;9;10
2022-06-26;0;3;17;3;11;0;93;0;0;0;18;7
2022-06-27;0;449;398;485;357;297;92;340;312;315;455;270
2022-06-28;23;474;324;379;389;469;143;277;221;293;300;425
2022-06-29;15;82;312;358;369;561;310;169;168;339;402;273
2022-06-30;486;593;231;332;497;462;206;383;206;321;478;281
2022-07-01;148;287;165;231;274;246;145;214;150;380;349;124
2022-07-02;0;3;10;2;157;288;75;2;1;0;7;1
2022-07-03;0;2;3;1;26;46;112;0;0;0;4;2
2022-07-04;120;487;405;644;371;535;115;306;313;272;562;469
2022-07-05;283;674;294;339;330;621;241;404;226;416;252;224
2022-07-06;335;409;392;401;376;492;224;374;242;266;317;386
2022-07-07;188;398;245;243;357;319;112;254;174;502;276;185
2022-07-08;116;453;285;341;211;419;199;220;148;337;342;263
2022-07-09;0;1;17;1;11;276;54;31;0;0;13;0
2022-07-10;0;1;35;1;40;0;75;0;0;0;3;2
2022-07-11;164;500;332;562;474;477;115;242;325;407;396;418
2022-07-12;210;460;249;378;257;624;196;281;250;505;181;190
2022-07-13;354;388;293;294;408;400;240;347;192;408;353;356
2022-07-14;414;315;285;280;376;417;197;378;181;362;345;219
2022-07-15;306;260;213;332;262;405;148;182;159;308;298;203
2022-07-16;0;1;32;0;138;290;82;15;0;0;15;0
2022-07-17;0;4;3;1;39;0;144;0;0;0;6;0
2022-07-18;161;429;376;541;238;335;104;308;318;184;288;415
2022-07-19;127;485;222;381;296;553;225;232;228;299;229;247
2022-07-20;147;490;180;354;316;397;179;289;238;243;220;287
2022-07-21;136;380;156;283;204;320;226;201;189;213;329;196
2022-07-22;122;260;159;283;183;311;157;196;198;196;331;276
2022-07-23;0;3;32;1;113;241;111;1;0;0;2;2
2022-07-24;0;3;6;1;6;0;77;0;1;0;0;1
2022-07-25;129;465;672;492;244;310;63;228;326;156;248;357
2022-07-26;354;337;313;263;287;399;179;262;186;170;348;267
2022-07-27;271;317;210;253;205;275;189;210;209;137;276;224
2022-07-28;280;274;211;248;138;317;134;234;145;209;264;140
2022-07-29;115;237;186;204;128;252;156;146;123;225;160;159
2022-07-30;0;0;18;0;74;203;66;2;0;0;3;0
2022-07-31;0;0;8;0;25;0;61;1;0;0;0;0
2022-08-01;132;413;251;377;238;221;85;211;235;231;256;271
2022-08-02;145;265;230;219;132;301;174;231;166;187;224;228
2022-08-03;105;243;162;234;192;270;162;187;141;314;192;155
2022-08-04;119;202;170;172;106;221;120;131;167;237;180;168
2022-08-05;239;169;105;144;122;250;135;160;101;224;127;96
2022-08-06;0;2;8;0;70;160;77;1;0;0;1;0
2022-08-07;0;0;4;1;31;0;41;1;0;0;1;0
2022-08-08;0;299;248;325;182;211;76;138;228;323;125;216
2022-08-09;284;200;158;200;130;259;140;188;167;366;154;180
2022-08-10;136;189;158;324;127;185;125;237;113;426;142;152
2022-08-11;185;161;117;135;137;201;118;144;104;394;139;125
2022-08-12;98;149;155;182;84;257;89;108;95;279;100;123
2022-08-13;0;3;2;0;62;113;67;0;0;0;2;0
2022-08-14;0;1;2;0;6;0;64;0;0;0;4;0
2022-08-15;99;273;253;271;133;169;71;171;182;342;199;248
2022-08-16;143;174;106;189;145;197;143;135;147;303;119;132
2022-08-17;165;94;166;119;72;157;90;124;84;117;236;102
2022-08-18;175;107;62;141;71;133;70;95;67;87;93;82
2022-08-19;90;86;102;87;67;100;67;73;69;71;90;43
2022-08-20;0;1;5;0;46;74;67;0;0;0;5;0
2022-08-21;0;1;0;0;1;0;17;0;0;0;1;0
2022-08-22;244;89;124;129;68;93;68;92;151;86;120;75
2022-08-23;379;95;129;127;174;292;94;85;125;107;92;40
2022-08-24;413;359;270;393;245;406;131;303;164;327;290;402
2022-08-25;308;168;87;151;104;159;135;163;91;216;233;144
2022-08-26;199;201;113;113;88;231;142;124;93;182;163;114
2022-08-27;0;0;4;1;14;69;78;0;0;0;0;0
2022-08-28;0;0;2;1;0;0;37;0;0;0;0;0
2022-08-29;271;148;92;119;78;90;95;143;142;105;89;86
2022-08-30;348;245;160;184;117;290;99;150;157;112;4;186
2022-08-31;233;151;89;116;89;126;58;114;100;204;36;107
2022-09-01;373;114;72;93;52;119;114;96;76;70;78;90
2022-09-02;238;62;63;130;74;108;94;64;105;76;131;101
2022-09-03;0;0;0;0;65;91;72;6;0;0;2;0
2022-09-04;0;1;1;1;9;0;31;0;0;0;0;0
2022-09-05;142;165;148;159;78;141;55;136;147;133;196;176
2022-09-06;141;142;102;160;112;225;109;73;100;97;178;95
2022-09-07;136;134;88;108;101;193;130;80;103;121;180;127
2022-09-08;124;112;97;85;79;151;86;92;79;166;146;110
2022-09-09;155;78;46;94;61;125;73;83;69;176;115;64
2022-09-10;0;1;3;1;57;125;55;1;0;0;3;0
2022-09-11;0;1;2;1;1;0;35;2;0;0;3;0
2022-09-12;263;213;178;194;109;161;83;118;169;214;133;208
2022-09-13;239;145;118;150;107;257;134;116;101;184;112;124
2022-09-14;131;162;85;128;52;183;94;147;102;102;110;163
2022-09-15;210;116;97;116;109;140;112;60;83;153;149;102
2022-09-16;91;95;60;4;91;156;68;118;62;86;139;95
2022-09-17;0;1;0;1;7;0;55;0;0;0;1;0
2022-09-18;0;0;1;0;0;0;45;0;0;0;1;0
2022-09-19;152;205;145;283;109;282;49;118;171;204;170;203
2022-09-20;222;125;115;165;97;181;133;129;82;140;98;103
2022-09-21;238;132;86;131;86;183;121;141;126;163;119;169
2022-09-22;371;131;86;123;71;158;88;105;85;139;148;94
2022-09-23;126;127;120;128;66;144;87;99;94;154;170;158
2022-09-24;0;2;0;3;89;0;0;0;0;0;1;0
2022-09-25;0;1;3;0;0;17;0;2;0;0;2;0
2022-09-26;255;218;222;265;138;301;137;202;211;213;141;253
2022-09-27;280;198;144;204;165;257;173;198;141;284;215;185
2022-09-28;72;228;174;200;135;286;211;155;171;189;201;234
